rid,cls,偏差値
202404040510,2勝クラス,61.33735564742376
202404040511,3勝クラス,59.43309308825667
202404040512,1勝クラス,45.87985911077541
202404040601,未勝利,47.26571645569337
202404040602,未勝利,53.15955968434052
202404040603,1勝クラス,46.76364059311683
202404040606,1勝クラス,48.99127429259753
202404040607,1勝クラス,45.83750767298898
202404040608,1勝クラス,35.159477800653114
202404040609,1勝クラス,50.39206546906321
202404040610,2勝クラス,52.84412181426225
202404040611,OP,63.26950195834335
202404040612,1勝クラス,48.25157410775929
202404040702,未勝利,47.553665079543265
202404040703,1勝クラス,50.840598867522914
202404040706,未勝利,48.924834334072585
202404040707,1勝クラス,52.06781264347088
202404040708,1勝クラス,49.67878021076017
202404040709,1勝クラス,46.577620395233865
202404040710,2勝クラス,59.196395724277195
202404040711,3勝クラス,57.79170914213714
202404040712,1勝クラス,41.40446497818402
202404040801,未勝利,46.23171452607171
202404040802,未勝利,43.695694066959646
202404040803,1勝クラス,46.80680941073823
202404040805,未勝利,46.998051938591715
202404040806,1勝クラス,40.91883261017569
202404040807,1勝クラス,44.29126485147093
202404040808,1勝クラス,43.80017253196901
202404040809,1勝クラス,47.30374464017394
202404040810,2勝クラス,54.14539315676572
202404040811,OP,57.62067785735795
202404040812,1勝クラス,51.87169169774393
202405040101,未勝利,41.9289544010862
202405040102,未勝利,44.56180556023017
202405040103,未勝利,48.3406592313169
202405040106,1勝クラス,55.97282121780087
202405040107,1勝クラス,52.76823979601033
202405040108,1勝クラス,45.57092130481866
202405040109,2勝クラス,61.84451816939503
202405040110,3勝クラス,61.70899897060521
202405040111,重賞,56.4260145265044
202405040112,2勝クラス,59.80044212430896
202405040201,未勝利,41.35636944794298
202405040202,未勝利,53.94059519194692
202405040206,1勝クラス,44.53088222382159
202405040207,1勝クラス,53.70837434121003
202405040208,2勝クラス,56.2124727846337
202405040209,3勝クラス,68.85529205783817
202405040210,OP,62.265778488558794
202405040211,重賞,71.9515711535643
202405040212,2勝クラス,50.78160901955209
202405040301,未勝利,41.72382802928876
202405040302,未勝利,47.19953330977263
202405040303,未勝利,51.96887211880806
202405040306,1勝クラス,51.123196970201334
202405040307,1勝クラス,47.78978965798234
202405040308,2勝クラス,57.92886190536772
202405040310,3勝クラス,52.07690315301902
202405040311,OP,63.41311943138783
202405040312,2勝クラス,55.774906284674245
202405040401,未勝利,45.9583636271302
202405040402,未勝利,44.84780682927064
202405040403,未勝利,38.365424415673445
202405040406,1勝クラス,46.60587432946883
202405040407,2勝クラス,47.931515553467975
202405040408,1勝クラス,38.77812045253788
202405040409,1勝クラス,54.42224494345795
202405040410,3勝クラス,55.40971270585863
202405040411,重賞,69.09758638166673
202405040412,2勝クラス,56.29342212182476
202405040501,未勝利,43.875970425150406
